name,profession,industry,handle,support statement,Number of Twitter followers,Date of statement,screen_name,endorsed
LeBron James,athlete,sports,@KingJames,,41.3 M,10/2/16,KingJames,Clinton
Katy Perry,singer,music,@katyperry,https://twitter.com/katyperry/status/609748370534436864?ref_src=twsrc%5Etfw&ref_url=https%3A%2F%2Fwww.washingtonpost.com%2Fnews%2Fthe-fix%2Fwp%2F2015%2F06%2F15%2Fsome-of-the-pop-stars-who-tweeted-about-hillarys-launch-are-a-little-well-yesterday%2F&tfw_creator=hunterschwarz&tfw_site=WashingtonPost,69.1 M,6/13/15,katyperry,Clinton
Beyonce,singer,music,@beyonce,,15.2 M,11/4/16,beyonce,Clinton
Jaime King,actress,TV,@Jaime_King,https://twitter.com/jaime_king/status/740369512818581504?lang=en,238 K,6/7/16,Jaime_King,Clinton
Barbra Streisand,singer,music,@barbraStreisand,https://twitter.com/BarbraStreisand/status/609753871825637376?ref_src=twsrc%5Etfw&ref_url=https%3A%2F%2Fwww.washingtonexaminer.com%2Fbarbra-streisand-urges-hillary-supporters-what-are-you-waiting-for&tfw_creator=SecretsBedard&tfw_site=DCExaminer,515 K,6/13/15,barbraStreisand,Clinton
Mariah Carey,singer,music,@MariahCarey,https://twitter.com/mariahcarey/status/609751538865602560?lang=en,21 M,6/13/15,MariahCarey,Clinton
Cloey Grace Moretz,actress,TV,@ChloeGMoretz,https://twitter.com/chloegmoretz/status/609762339844272129?lang=en,3.27 M,6/13/15,ChloeGMoretz,Clinton
Debra Messing,actress,TV,@DebraMessing,,482 K,9/26/16,DebraMessing,Clinton
Kendall Jenner,model,fashion,@KendallJenner,https://twitter.com/KendallJenner/status/700374837517090817?ref_src=twsrc%5Etfw&ref_url=https%3A%2F%2Fwww.cnn.com%2F2016%2F02%2F18%2Fpolitics%2Fkendall-jenner-endorses-hillary-clinton%2Findex.html,26.6 M,2/18/16,KendallJenner,Clinton
Lena Dunham,actress,TV,@lenadunham,https://twitter.com/lenadunham/status/780598372503871488?lang=en,5.7 M,4/16/16,lenadunham,Clinton
Lady Gaga,singer,music,@ladygaga,https://twitter.com/ladygaga/status/740257840330215424?lang=en,77.8 M,10/6/16,ladygaga,Clinton
Leonardo DiCapario,actor,TV,@leodicaprio,https://twitter.com/leodicaprio/status/759056145843687424?lang=en,19.3 M,10/7/16,leodicaprio,Clinton
Kerry Washington,actress,TV,@kerrywashington,https://twitter.com/kerrywashington/status/795431335028408322,5.3 M,3/10/16,kerrywashington,Clinton
Shonda Rhimes,actress,TV,@shondarhimes,https://twitter.com/shondarhimes/status/780597999428706305?lang=en,1.7 M,3/10/16,shondarhimes,Clinton
Kareem Abdul-Jabbar,athlete,sports,@kaj33,https://twitter.com/kaj33/status/755798219490103296?lang=en,2.19 M,4/15/16,kaj33,Clinton
Julianne Moore,actress,TV,@_juliannemoore,https://twitter.com/_juliannemoore/status/692020507043065856,877 K,1/26/16,_juliannemoore,Clinton
Pharell Williams,singer,music,@Pharrell,,10.9 M,10/12/15,Pharrell,Clinton
Beth Behrs,actress,TV,@BethBehrs,https://twitter.com/BethBehrs/status/791111445287100416,324 K,10/25/16,BethBehrs,Clinton
America Ferrera,actress,TV,@AmericaFerrera,https://twitter.com/americaferrera/status/720723015642644481,204K,12/6/17,AmericaFerrera,Clinton
Tony Goldwyn,actor,TV,@tonygoldwyn,https://twitter.com/tonygoldwyn/status/702026945320472578,528 K,2/22/16,tonygoldwyn,Clinton
John Legend,singer,music,@johnlegend,https://twitter.com/johnlegend/status/740448027043897345,12.1 M,6/8/16,johnlegend,Clinton
Cher,singer,music,@cher,https://twitter.com/cher/status/716343695633592320?lang=en,3.58 M,4/2/16,cher,Clinton
Connie Britton,actress,TV,@conniebritton,https://twitter.com/conniebritton/status/734032459734601728?lang=en,241K,5/21/16,conniebritton,Clinton
Jennifer Lopez,singer,music,@JLo,,45.4K,11/6/16,JLo,Clinton
