name,industry,handle,tweet_endorsing,Number of Twitter followers,Date of statement,username
Ellen DeGeneres,TV personality,@TheEllenShow,https://twitter.com/theellenshow/status/796230454227529728?lang=en,77.7 M,1/11/16,TheEllenShow
Oprah,TV personality,@Oprah,,42.4 M,6/15/16,Oprah
RuPaul,actor,@RuPaul,,1.19 M,8/12/16,RuPaul
Ted Danson,actor,@TedDanson,https://twitter.com/teddanson/status/791376488780017664,29.9 K,3/11/16,TedDanson
Mary Steenburgen,actress,@MarySteenburgen,,29.5 K,2/9/16,MarySteenburgen
Elton John,singer,@eltonofficial,,691 K,3/3/16,eltonofficial
JJ Abrams,director,@bad_robot,,332 K,2/1/16,bad_robot
Miley Cyrus,singer,@MileyCyrus,https://twitter.com/mileycyrus/status/789939935910301696?lang=en,40.7 M,10/22/16,MileyCyrus
Eva Longoria,actress,@EvaLongoria,https://twitter.com/evalongoria/status/740165554871226370,7.71 M,6/7/16,EvaLongoria
Samuel L Jackson,actor,@SamuelLJackson,cannot find one,7.42 M,12/28/15,SamuelLJackson
George Takei,actor,@GeorgeTakei,https://twitter.com/georgetakei/status/902300526766948354?lang=ar,2.87 M,11/7/14,GeorgeTakei
Charlize Theron,actress,@CharlizeAfrica,https://twitter.com/charlizeafrica/status/792403825055281152?lang=en,611 K,10/27/16,CharlizeAfrica
Adele,singer,@Adele,cannot find one,29 M,10/25/16,Adele
Jamie Foxx,actor,@iamjamiefoxx,cannot find one,4.85 M,4/16/16,iamjamiefoxx
Olivia Wilde,actress,@oliviawilde,https://twitter.com/oliviawilde/status/779713789734350848?lang=en,1.85 M,6/24/16,oliviawilde
Gina Rodriguez,actress,@HereIsGina,https://twitter.com/hereisgina/status/796024880244195328?lang=en,464 K,2/1/16,HereIsGina
Angela Bassett,actress,@ImAngelaBassett,https://twitter.com/imangelabassett/status/697562882699956224?lang=en,419 K,2/26/16,ImAngelaBassett
Kat Dennings,actress,@Officialkat,https://twitter.com/officialkat/status/587349064959705088,1.16 M,4/12/15,Officialkat
Rober De Niro,Actor,,,,10/7/16,
Scarlett Johanson,actress,,,,9/3/13,
Will Ferrel,comedian,,,,2/21/16,
Ilana Glazer,comedian,,,,3/2/16,
Louis CK,comedian,,,,11/1/16,
Meryl Streep,actress,,,,6/26/16,
Matt Damon,actor,,,,5/10/16,
